;bcc code;address;names; temp label;label
0;BCC9 -4;P:/AI.Repository/BCC projekt-digital\BCC9 (4)_0.ndpi;BCC9 (4)_0.ndpi;0;0
1;BCC9 -3;P:/AI.Repository/BCC projekt-digital\BCC9 (3)_0.ndpi;BCC9 (3)_0.ndpi;0;0
2;BCC9 -2;P:/AI.Repository/BCC projekt-digital\BCC9 (2)_2.ndpi;BCC9 (2)_2.ndpi;2;3
3;BCC9 -1;P:/AI.Repository/BCC projekt-digital\BCC9 (1)_2.ndpi;BCC9 (1)_2.ndpi;2;3
4;BCC8 -3;P:/AI.Repository/BCC projekt-digital\BCC8 (3)_1a.ndpi;BCC8 (3)_1a.ndpi;1a;2
5;BCC8 -2;P:/AI.Repository/BCC projekt-digital\BCC8 (2)_1a.ndpi;BCC8 (2)_1a.ndpi;1a;2
6;BCC8 -1;P:/AI.Repository/BCC projekt-digital\BCC8 (1)_1a.ndpi;BCC8 (1)_1a.ndpi;1a;2
7;BCC7 -6;P:/AI.Repository/BCC projekt-digital\BCC7 (6)_1a_1b.ndpi;BCC7 (6)_1a_1b.ndpi;1a_1b;2
8;BCC7 -5;P:/AI.Repository/BCC projekt-digital\BCC7 (5)_0.ndpi;BCC7 (5)_0.ndpi;0;0
9;BCC7 -4;P:/AI.Repository/BCC projekt-digital\BCC7 (4)_0.ndpi;BCC7 (4)_0.ndpi;0;0
10;BCC7 -3;P:/AI.Repository/BCC projekt-digital\BCC7 (3)_0.ndpi;BCC7 (3)_0.ndpi;0;0
11;BCC7 -2;P:/AI.Repository/BCC projekt-digital\BCC7 (2)_0.ndpi;BCC7 (2)_0.ndpi;0;0
12;BCC7 -1;P:/AI.Repository/BCC projekt-digital\BCC7 (1)_0.ndpi;BCC7 (1)_0.ndpi;0;0
13;BCC685 -7;P:/AI.Repository/BCC projekt-digital\BCC685 (7)_1a.ndpi;BCC685 (7)_1a.ndpi;1a;2
14;BCC685 -6;P:/AI.Repository/BCC projekt-digital\BCC685 (6)_0.ndpi;BCC685 (6)_0.ndpi;0;0
15;BCC685 -5;P:/AI.Repository/BCC projekt-digital\BCC685 (5)_0.ndpi;BCC685 (5)_0.ndpi;0;0
16;BCC685 -4;P:/AI.Repository/BCC projekt-digital\BCC685 (4)_1b.ndpi;BCC685 (4)_1b.ndpi;1b;1
17;BCC685 -3;P:/AI.Repository/BCC projekt-digital\BCC685 (3)_3.ndpi;BCC685 (3)_3.ndpi;3;4
18;BCC685 -2;P:/AI.Repository/BCC projekt-digital\BCC685 (2)_0.ndpi;BCC685 (2)_0.ndpi;0;0
19;BCC685 -1;P:/AI.Repository/BCC projekt-digital\BCC685 (1)_0.ndpi;BCC685 (1)_0.ndpi;0;0
20;BCC684 -3;P:/AI.Repository/BCC projekt-digital\BCC684 (3)_2.ndpi;BCC684 (3)_2.ndpi;2;3
21;BCC684 -2;P:/AI.Repository/BCC projekt-digital\BCC684 (2)_2.ndpi;BCC684 (2)_2.ndpi;2;3
22;BCC684 -1;P:/AI.Repository/BCC projekt-digital\BCC684 (1)_0.ndpi;BCC684 (1)_0.ndpi;0;0
23;BCC683 -3;P:/AI.Repository/BCC projekt-digital\BCC683 (3)_3.ndpi;BCC683 (3)_3.ndpi;3;4
24;BCC683 -2;P:/AI.Repository/BCC projekt-digital\BCC683 (2)_0.ndpi;BCC683 (2)_0.ndpi;0;0
25;BCC683 -1;P:/AI.Repository/BCC projekt-digital\BCC683 (1)_3.ndpi;BCC683 (1)_3.ndpi;3;4
26;BCC682 -2;P:/AI.Repository/BCC projekt-digital\BCC682 (2)_3.ndpi;BCC682 (2)_3.ndpi;3;4
27;BCC682 -1;P:/AI.Repository/BCC projekt-digital\BCC682 (1)_3.ndpi;BCC682 (1)_3.ndpi;3;4
28;BCC681 -4;P:/AI.Repository/BCC projekt-digital\BCC681 (4)_3.ndpi;BCC681 (4)_3.ndpi;3;4
29;BCC681 -3;P:/AI.Repository/BCC projekt-digital\BCC681 (3)_0.ndpi;BCC681 (3)_0.ndpi;0;0
30;BCC681 -2;P:/AI.Repository/BCC projekt-digital\BCC681 (2)_0.ndpi;BCC681 (2)_0.ndpi;0;0
31;BCC681 -1;P:/AI.Repository/BCC projekt-digital\BCC681 (1)_0.ndpi;BCC681 (1)_0.ndpi;0;0
32;BCC680 -9;P:/AI.Repository/BCC projekt-digital\BCC680 (9)_3.ndpi;BCC680 (9)_3.ndpi;3;4
33;BCC680 -8;P:/AI.Repository/BCC projekt-digital\BCC680 (8)_3.ndpi;BCC680 (8)_3.ndpi;3;4
34;BCC680 -7;P:/AI.Repository/BCC projekt-digital\BCC680 (7)_0.ndpi;BCC680 (7)_0.ndpi;0;0
35;BCC680 -6;P:/AI.Repository/BCC projekt-digital\BCC680 (6)_0.ndpi;BCC680 (6)_0.ndpi;0;0
36;BCC680 -2;P:/AI.Repository/BCC projekt-digital\BCC680 (2)_0.ndpi;BCC680 (2)_0.ndpi;0;0
37;BCC680 -10;P:/AI.Repository/BCC projekt-digital\BCC680 (10)_3.ndpi;BCC680 (10)_3.ndpi;3;4
38;BCC680 -1;P:/AI.Repository/BCC projekt-digital\BCC680 (1)_0.ndpi;BCC680 (1)_0.ndpi;0;0
39;BCC679 -7;P:/AI.Repository/BCC projekt-digital\BCC679 (7)_3.ndpi;BCC679 (7)_3.ndpi;3;4
40;BCC679 -6;P:/AI.Repository/BCC projekt-digital\BCC679 (6)_0.ndpi;BCC679 (6)_0.ndpi;0;0
41;BCC679 -5;P:/AI.Repository/BCC projekt-digital\BCC679 (5)_0.ndpi;BCC679 (5)_0.ndpi;0;0
42;BCC679 -4;P:/AI.Repository/BCC projekt-digital\BCC679 (4)_2.ndpi;BCC679 (4)_2.ndpi;2;3
43;BCC679 -3;P:/AI.Repository/BCC projekt-digital\BCC679 (3)_2.ndpi;BCC679 (3)_2.ndpi;2;3
44;BCC679 -2;P:/AI.Repository/BCC projekt-digital\BCC679 (2)_0.ndpi;BCC679 (2)_0.ndpi;0;0
45;BCC679 -1;P:/AI.Repository/BCC projekt-digital\BCC679 (1)_0.ndpi;BCC679 (1)_0.ndpi;0;0
46;BCC678 -3;P:/AI.Repository/BCC projekt-digital\BCC678 (3)_3.ndpi;BCC678 (3)_3.ndpi;3;4
47;BCC678 -2;P:/AI.Repository/BCC projekt-digital\BCC678 (2)_3.ndpi;BCC678 (2)_3.ndpi;3;4
48;BCC678 -1;P:/AI.Repository/BCC projekt-digital\BCC678 (1)_0.ndpi;BCC678 (1)_0.ndpi;0;0
49;BCC677 -9;P:/AI.Repository/BCC projekt-digital\BCC677 (9)_1a.ndpi;BCC677 (9)_1a.ndpi;1a;2
50;BCC677 -8;P:/AI.Repository/BCC projekt-digital\BCC677 (8)_3.ndpi;BCC677 (8)_3.ndpi;3;4
51;BCC677 -7;P:/AI.Repository/BCC projekt-digital\BCC677 (7)_3.ndpi;BCC677 (7)_3.ndpi;3;4
52;BCC677 -6;P:/AI.Repository/BCC projekt-digital\BCC677 (6)_3.ndpi;BCC677 (6)_3.ndpi;3;4
53;BCC677 -5;P:/AI.Repository/BCC projekt-digital\BCC677 (5)_3.ndpi;BCC677 (5)_3.ndpi;3;4
54;BCC677 -4;P:/AI.Repository/BCC projekt-digital\BCC677 (4)_3.ndpi;BCC677 (4)_3.ndpi;3;4
55;BCC677 -3;P:/AI.Repository/BCC projekt-digital\BCC677 (3)_3.ndpi;BCC677 (3)_3.ndpi;3;4
56;BCC677 -2;P:/AI.Repository/BCC projekt-digital\BCC677 (2)_3.ndpi;BCC677 (2)_3.ndpi;3;4
57;BCC677 -10;P:/AI.Repository/BCC projekt-digital\BCC677 (10)_1a.ndpi;BCC677 (10)_1a.ndpi;1a;2
58;BCC677 -1;P:/AI.Repository/BCC projekt-digital\BCC677 (1)_3.ndpi;BCC677 (1)_3.ndpi;3;4
59;BCC676 -4;P:/AI.Repository/BCC projekt-digital\BCC676 (4)_0.ndpi;BCC676 (4)_0.ndpi;0;0
60;BCC676 -3;P:/AI.Repository/BCC projekt-digital\BCC676 (3)_3.ndpi;BCC676 (3)_3.ndpi;3;4
61;BCC676 -2;P:/AI.Repository/BCC projekt-digital\BCC676 (2)_0.ndpi;BCC676 (2)_0.ndpi;0;0
62;BCC676 -1;P:/AI.Repository/BCC projekt-digital\BCC676 (1)_0.ndpi;BCC676 (1)_0.ndpi;0;0
63;BCC675 -9;P:/AI.Repository/BCC projekt-digital\BCC675 (9)_3.ndpi;BCC675 (9)_3.ndpi;3;4
64;BCC675 -8;P:/AI.Repository/BCC projekt-digital\BCC675 (8)_0.ndpi;BCC675 (8)_0.ndpi;0;0
65;BCC675 -7;P:/AI.Repository/BCC projekt-digital\BCC675 (7)_0.ndpi;BCC675 (7)_0.ndpi;0;0
66;BCC675 -6;P:/AI.Repository/BCC projekt-digital\BCC675 (6)_0.ndpi;BCC675 (6)_0.ndpi;0;0
67;BCC675 -5;P:/AI.Repository/BCC projekt-digital\BCC675 (5)_3.ndpi;BCC675 (5)_3.ndpi;3;4
68;BCC675 -4;P:/AI.Repository/BCC projekt-digital\BCC675 (4)_3.ndpi;BCC675 (4)_3.ndpi;3;4
69;BCC675 -3;P:/AI.Repository/BCC projekt-digital\BCC675 (3)_3.ndpi;BCC675 (3)_3.ndpi;3;4
70;BCC675 -2;P:/AI.Repository/BCC projekt-digital\BCC675 (2)_3.ndpi;BCC675 (2)_3.ndpi;3;4
71;BCC675 -18;P:/AI.Repository/BCC projekt-digital\BCC675 (18)_3.ndpi;BCC675 (18)_3.ndpi;3;4
72;BCC675 -17;P:/AI.Repository/BCC projekt-digital\BCC675 (17)_3.ndpi;BCC675 (17)_3.ndpi;3;4
73;BCC675 -16;P:/AI.Repository/BCC projekt-digital\BCC675 (16)_0.ndpi;BCC675 (16)_0.ndpi;0;0
74;BCC675 -15;P:/AI.Repository/BCC projekt-digital\BCC675 (15)_0.ndpi;BCC675 (15)_0.ndpi;0;0
75;BCC675 -14;P:/AI.Repository/BCC projekt-digital\BCC675 (14)_0.ndpi;BCC675 (14)_0.ndpi;0;0
76;BCC675 -13;P:/AI.Repository/BCC projekt-digital\BCC675 (13)_3.ndpi;BCC675 (13)_3.ndpi;3;4
77;BCC675 -12;P:/AI.Repository/BCC projekt-digital\BCC675 (12)_3.ndpi;BCC675 (12)_3.ndpi;3;4
78;BCC675 -11;P:/AI.Repository/BCC projekt-digital\BCC675 (11)_3.ndpi;BCC675 (11)_3.ndpi;3;4
79;BCC675 -10;P:/AI.Repository/BCC projekt-digital\BCC675 (10)_3.ndpi;BCC675 (10)_3.ndpi;3;4
80;BCC675 -1;P:/AI.Repository/BCC projekt-digital\BCC675 (1)_3.ndpi;BCC675 (1)_3.ndpi;3;4
81;BCC674 -9;P:/AI.Repository/BCC projekt-digital\BCC674 (9)_2.ndpi;BCC674 (9)_2.ndpi;2;3
82;BCC674 -8;P:/AI.Repository/BCC projekt-digital\BCC674 (8)_2.ndpi;BCC674 (8)_2.ndpi;2;3
83;BCC674 -7;P:/AI.Repository/BCC projekt-digital\BCC674 (7)_0.ndpi;BCC674 (7)_0.ndpi;0;0
84;BCC674 -6;P:/AI.Repository/BCC projekt-digital\BCC674 (6)_0.ndpi;BCC674 (6)_0.ndpi;0;0
85;BCC674 -5;P:/AI.Repository/BCC projekt-digital\BCC674 (5)_0.ndpi;BCC674 (5)_0.ndpi;0;0
86;BCC674 -4;P:/AI.Repository/BCC projekt-digital\BCC674 (4)_2.ndpi;BCC674 (4)_2.ndpi;2;3
87;BCC674 -3;P:/AI.Repository/BCC projekt-digital\BCC674 (3)_2.ndpi;BCC674 (3)_2.ndpi;2;3
